OptInStatus,Endpoint,RegionName
opt-in-not-required,ec2.eu-north-1.amazonaws.com,eu-north-1
opt-in-not-required,ec2.ap-south-1.amazonaws.com,ap-south-1
opt-in-not-required,ec2.eu-west-3.amazonaws.com,eu-west-3
opt-in-not-required,ec2.eu-west-2.amazonaws.com,eu-west-2
opt-in-not-required,ec2.eu-west-1.amazonaws.com,eu-west-1
opt-in-not-required,ec2.ap-northeast-3.amazonaws.com,ap-northeast-3
opt-in-not-required,ec2.ap-northeast-2.amazonaws.com,ap-northeast-2
opt-in-not-required,ec2.ap-northeast-1.amazonaws.com,ap-northeast-1
opt-in-not-required,ec2.sa-east-1.amazonaws.com,sa-east-1
opt-in-not-required,ec2.ca-central-1.amazonaws.com,ca-central-1
opt-in-not-required,ec2.ap-southeast-1.amazonaws.com,ap-southeast-1
opt-in-not-required,ec2.ap-southeast-2.amazonaws.com,ap-southeast-2
opt-in-not-required,ec2.eu-central-1.amazonaws.com,eu-central-1
opt-in-not-required,ec2.us-east-1.amazonaws.com,us-east-1
opt-in-not-required,ec2.us-east-2.amazonaws.com,us-east-2
opt-in-not-required,ec2.us-west-1.amazonaws.com,us-west-1
opt-in-not-required,ec2.us-west-2.amazonaws.com,us-west-2
